"filename", "language", "JSON", "JavaScript", "Markdown", "XML", "HTML", "vue", "CSS", "comment", "blank", "total"
"c:\Users\Dell\Documents\IB\Computer Science\IA\Code\ArmanBehera_CSIA (old)\pharmacy_vite\src\views\AdministratorViews\ViewLabTests.vue", "vue", 0, 0, 0, 0, 0, 128, 0, 0, 25, 153
"c:\Users\Dell\Documents\IB\Computer Science\IA\Code\ArmanBehera_CSIA (old)\pharmacy_vite\src\views\AdministratorViews\ViewMedicines.vue", "vue", 0, 0, 0, 0, 0, 149, 0, 0, 29, 178
"c:\Users\Dell\Documents\IB\Computer Science\IA\Code\ArmanBehera_CSIA (old)\pharmacy_vite\src\views\AdministratorViews\ViewSpecializations.vue", "vue", 0, 0, 0, 0, 0, 143, 0, 0, 32, 175
"c:\Users\Dell\Documents\IB\Computer Science\IA\Code\ArmanBehera_CSIA (old)\pharmacy_vite\src\views\DoctorViews\AddPrescription.vue", "vue", 0, 0, 0, 0, 0, 36, 0, 0, 9, 45
"c:\Users\Dell\Documents\IB\Computer Science\IA\Code\ArmanBehera_CSIA (old)\pharmacy_vite\src\views\DoctorViews\HomePage.vue", "vue", 0, 0, 0, 0, 0, 69, 0, 0, 11, 80
"c:\Users\Dell\Documents\IB\Computer Science\IA\Code\ArmanBehera_CSIA (old)\pharmacy_vite\src\views\DoctorViews\Index.vue", "vue", 0, 0, 0, 0, 0, 101, 0, 0, 7, 108
"c:\Users\Dell\Documents\IB\Computer Science\IA\Code\ArmanBehera_CSIA (old)\pharmacy_vite\src\views\DoctorViews\Login.vue", "vue", 0, 0, 0, 0, 0, 124, 0, 0, 27, 151
"c:\Users\Dell\Documents\IB\Computer Science\IA\Code\ArmanBehera_CSIA (old)\pharmacy_vite\src\views\DoctorViews\Signin.vue", "vue", 0, 0, 0, 0, 0, 189, 0, 0, 28, 217
"c:\Users\Dell\Documents\IB\Computer Science\IA\Code\ArmanBehera_CSIA (old)\pharmacy_vite\src\views\FrontDeskViews\AddExistingPatient.vue", "vue", 0, 0, 0, 0, 0, 133, 0, 0, 20, 153
"c:\Users\Dell\Documents\IB\Computer Science\IA\Code\ArmanBehera_CSIA (old)\pharmacy_vite\src\views\FrontDeskViews\AddNewPatient.vue", "vue", 0, 0, 0, 0, 0, 123, 0, 0, 19, 142
"c:\Users\Dell\Documents\IB\Computer Science\IA\Code\ArmanBehera_CSIA (old)\pharmacy_vite\src\views\FrontDeskViews\HomePage.vue", "vue", 0, 0, 0, 0, 0, 221, 0, 0, 34, 255
"c:\Users\Dell\Documents\IB\Computer Science\IA\Code\ArmanBehera_CSIA (old)\pharmacy_vite\src\views\FrontDeskViews\Index.vue", "vue", 0, 0, 0, 0, 0, 139, 0, 0, 10, 149
"c:\Users\Dell\Documents\IB\Computer Science\IA\Code\ArmanBehera_CSIA (old)\pharmacy_vite\src\views\FrontDeskViews\Login.vue", "vue", 0, 0, 0, 0, 0, 119, 0, 0, 25, 144
"c:\Users\Dell\Documents\IB\Computer Science\IA\Code\ArmanBehera_CSIA (old)\pharmacy_vite\src\views\FrontDeskViews\Signin.vue", "vue", 0, 0, 0, 0, 0, 140, 0, 0, 22, 162
"c:\Users\Dell\Documents\IB\Computer Science\IA\Code\ArmanBehera_CSIA (old)\pharmacy_vite\src\views\HomeView.vue", "vue", 0, 0, 0, 0, 0, 81, 0, 2, 11, 94
"c:\Users\Dell\Documents\IB\Computer Science\IA\Code\ArmanBehera_CSIA (old)\pharmacy_vite\src\views\Logout.vue", "vue", 0, 0, 0, 0, 0, 37, 0, 0, 6, 43
"c:\Users\Dell\Documents\IB\Computer Science\IA\Code\ArmanBehera_CSIA (old)\pharmacy_vite\src\views\PharmacyViews\HomePage.vue", "vue", 0, 0, 0, 0, 0, 4, 0, 0, 3, 7
"c:\Users\Dell\Documents\IB\Computer Science\IA\Code\ArmanBehera_CSIA (old)\pharmacy_vite\src\views\PharmacyViews\Index.vue", "vue", 0, 0, 0, 0, 0, 101, 0, 0, 7, 108
"c:\Users\Dell\Documents\IB\Computer Science\IA\Code\ArmanBehera_CSIA (old)\pharmacy_vite\src\views\PharmacyViews\Login.vue", "vue", 0, 0, 0, 0, 0, 117, 0, 0, 25, 142
"c:\Users\Dell\Documents\IB\Computer Science\IA\Code\ArmanBehera_CSIA (old)\pharmacy_vite\src\views\PharmacyViews\Signin.vue", "vue", 0, 0, 0, 0, 0, 140, 0, 0, 22, 162
"c:\Users\Dell\Documents\IB\Computer Science\IA\Code\ArmanBehera_CSIA (old)\pharmacy_vite\tailwind.config.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\Dell\Documents\IB\Computer Science\IA\Code\ArmanBehera_CSIA (old)\pharmacy_vite\vite.config.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"Total", "-", 2953, 524, 4, 2, 13, 3470, 141, 15, 672, 7794
